Title,Year,Source title,DOI,Link
"A survey of methods for explaining black box models",2018,"ACM Computing Surveys","10.1145/3236009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052502285&doi=10.1145%2f3236009&partnerID=40&md5=e7bfd8c1df3a7f796a49cf32f9452d71"
"Feature selection: A data perspective",2017,"ACM Computing Surveys","10.1145/3136625","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040227605&doi=10.1145%2f3136625&partnerID=40&md5=f348a8ca731b89d75341739eaa08d2d1"
"Deep learning based recommender system: A survey and new perspectives",2019,"ACM Computing Surveys","10.1145/3285029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062450758&doi=10.1145%2f3285029&partnerID=40&md5=c2c1fffe6540ec40178a1f8dd17b9676"
"A survey of techniques for approximate computing",2016,"ACM Computing Surveys","10.1145/2893356","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963984095&doi=10.1145%2f2893356&partnerID=40&md5=6ad7d90f3f5cac5617dff60d26381e53"
"Mobile Crowd Sensing and Computing: The review of an emerging human-powered sensing paradigm",2015,"ACM Computing Surveys","10.1145/2794400","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939796428&doi=10.1145%2f2794400&partnerID=40&md5=ee7a5b98aa05d92c7686e7154402ee49"
"Processing social media messages in Mass Emergency: A survey",2015,"ACM Computing Surveys","10.1145/2771588","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937924932&doi=10.1145%2f2771588&partnerID=40&md5=d4ceefe5163acb6d681f3d58945de032"
"Many-objective evolutionary algorithms: A survey",2015,"ACM Computing Surveys","10.1145/2792984","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945334258&doi=10.1145%2f2792984&partnerID=40&md5=361c2c9ef99f09b43e2a8637b5f0fa63"
"A survey on deep learning: Algorithms, techniques, and applications",2018,"ACM Computing Surveys","10.1145/3234150","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053880872&doi=10.1145%2f3234150&partnerID=40&md5=69cd0066d1986286739d2ecf39227c72"
"A survey of predictive modeling on imbalanced domains",2016,"ACM Computing Surveys","10.1145/2907070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983748443&doi=10.1145%2f2907070&partnerID=40&md5=0445588e457f59db3ba72d981ced4a26"
"Generalizing from a Few Examples: A Survey on Few-shot Learning",2020,"ACM Computing Surveys","10.1145/3386252","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089438604&doi=10.1145%2f3386252&partnerID=40&md5=d3299adf780237d1d44b8fe0c71dcff2"
"A tutorial on multilabel learning",2015,"ACM Computing Surveys","10.1145/2716262","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929484765&doi=10.1145%2f2716262&partnerID=40&md5=c524f0974f120b700605fa683a8f5593"
"Cloud computing resource scheduling and a survey of its evolutionary approaches",2015,"ACM Computing Surveys","10.1145/2788397","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939803867&doi=10.1145%2f2788397&partnerID=40&md5=51dd07826ce6c544fd26df28f90068de"
"Detection and resolution of rumours in social media: A survey",2018,"ACM Computing Surveys","10.1145/3161603","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042614195&doi=10.1145%2f3161603&partnerID=40&md5=02c46546b414cffb85a95a9d5c089488"
"A survey of link prediction in complex networks",2016,"ACM Computing Surveys","10.1145/3012704","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006982866&doi=10.1145%2f3012704&partnerID=40&md5=9777271984a353691b9306f607f28e88"
"A survey on automatic detection of hate speech in text",2018,"ACM Computing Surveys","10.1145/3232676","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053245173&doi=10.1145%2f3232676&partnerID=40&md5=e92c863dbc8e557ce6410de00d4c4f3c"
"A survey of CPU-GPU heterogeneous computing techniques",2015,"ACM Computing Surveys","10.1145/2788396","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939814753&doi=10.1145%2f2788396&partnerID=40&md5=183aca9b2a9dac9dc66e3f4724b30fb7"
"A survey on malware detection using data mining techniques",2017,"ACM Computing Surveys","10.1145/3073559","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027058268&doi=10.1145%2f3073559&partnerID=40&md5=4b6553fb4e8d076419e8473a32b5f6a3"
"A survey on ensemble learning for data stream classification",2017,"ACM Computing Surveys","10.1145/3054925","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016617613&doi=10.1145%2f3054925&partnerID=40&md5=17e6a1b674a1c695b401231e45d5571f"
"A survey on homomorphic encryption schemes: Theory and implementation",2018,"ACM Computing Surveys","10.1145/3214303","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053264951&doi=10.1145%2f3214303&partnerID=40&md5=1666f01da14bfccfe67400dd07a7ed9b"
