Title,Year,Source title,DOI,Link
"Adaptive Neural Network Control of an Uncertain Robot with Full-State Constraints",2016,"IEEE Transactions on Cybernetics","10.1109/TCYB.2015.2411285","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926319520&doi=10.1109%2fTCYB.2015.2411285&partnerID=40&md5=d09231482d1c0edfecbdf74df2d2397f"
"An overview of recent advances in event-triggered consensus of multiagent systems",2018,"IEEE Transactions on Cybernetics","10.1109/TCYB.2017.2771560","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035804140&doi=10.1109%2fTCYB.2017.2771560&partnerID=40&md5=a131510fb8a3452403195564c7c1bd3d"
"A competitive swarm optimizer for large scale optimization",2015,"IEEE Transactions on Cybernetics","10.1109/TCYB.2014.2322602","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028143019&doi=10.1109%2fTCYB.2014.2322602&partnerID=40&md5=a58dcaaf90743ffb70ad2964c36bbe84"
"Consensus of linear multi-agent systems by distributed event-triggered strategy",2016,"IEEE Transactions on Cybernetics","10.1109/TCYB.2015.2398892","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960396044&doi=10.1109%2fTCYB.2015.2398892&partnerID=40&md5=24fd710eb31baf6a7f5288d9c0f5628d"
"Observer-Based Adaptive Backstepping Consensus Tracking Control for High-Order Nonlinear Semi-Strict-Feedback Multiagent Systems",2016,"IEEE Transactions on Cybernetics","10.1109/TCYB.2015.2452217","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940705528&doi=10.1109%2fTCYB.2015.2452217&partnerID=40&md5=267543ed887b0a0cb6e38e6c32bb525b"
"Composite adaptive fuzzy output feedback control design for uncertain nonlinear strict-feedback systems with input saturation",2015,"IEEE Transactions on Cybernetics","10.1109/TCYB.2014.2370645","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933283393&doi=10.1109%2fTCYB.2014.2370645&partnerID=40&md5=8b754af2df2c29737f3020206ed59dcf"
"Adaptive Fuzzy Control Design for Stochastic Nonlinear Switched Systems With Arbitrary Switchings and Unmodeled Dynamics",2017,"IEEE Transactions on Cybernetics","10.1109/TCYB.2016.2518300","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961368195&doi=10.1109%2fTCYB.2016.2518300&partnerID=40&md5=a982864cfd9a719ed6c2361bff0f159e"
"Adaptive fuzzy output feedback dynamic surface control of interconnected nonlinear pure-feedback systems",2015,"IEEE Transactions on Cybernetics","10.1109/TCYB.2014.2333738","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919767998&doi=10.1109%2fTCYB.2014.2333738&partnerID=40&md5=6817ff67abca9d216c9f4a12b3c6ec92"
"On the security of a class of diffusion mechanisms for image encryption",2018,"IEEE Transactions on Cybernetics","10.1109/TCYB.2017.2682561","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017174283&doi=10.1109%2fTCYB.2017.2682561&partnerID=40&md5=84dee0876c75ce595af93eeb64b3e79a"
"Learning to Rank Using User Clicks and Visual Features for Image Retrieval",2015,"IEEE Transactions on Cybernetics","10.1109/TCYB.2014.2336697","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979823426&doi=10.1109%2fTCYB.2014.2336697&partnerID=40&md5=6caf89edc999692f4533e49b115116e3"
"A Level Set Approach to Image Segmentation with Intensity Inhomogeneity",2016,"IEEE Transactions on Cybernetics","10.1109/TCYB.2015.2409119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962292441&doi=10.1109%2fTCYB.2015.2409119&partnerID=40&md5=59a728904419a666915f704547243d5c"
"Event-Triggered Fault Detection of Nonlinear Networked Systems",2017,"IEEE Transactions on Cybernetics","10.1109/TCYB.2016.2536750","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016450208&doi=10.1109%2fTCYB.2016.2536750&partnerID=40&md5=310eda0d2d5e2990ee61a92bd04f77d7"
