Title,Year,Source title,DOI,Link
"Resource Allocation in NFV: A Comprehensive Survey",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2598420","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991333664&doi=10.1109%2fTNSM.2016.2598420&partnerID=40&md5=04bf45ab4cc53780bd01663fabd0555c"
"Heuristic approaches to the controller placement problem in large scale SDN networks",2015,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2015.2402432","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926006929&doi=10.1109%2fTNSM.2015.2402432&partnerID=40&md5=5752e727cb9f0d18af89b9f416659440"
"Orchestrating Virtualized Network Functions",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2569020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006822993&doi=10.1109%2fTNSM.2016.2569020&partnerID=40&md5=c313ef14ebfea5747ffc8c305a6dde08"
"Resource Slicing in Virtual Wireless Networks: A Survey",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2597295","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991475126&doi=10.1109%2fTNSM.2016.2597295&partnerID=40&md5=bb63949ff49a3c809c2d3d5945d07b88"
"Mobile encrypted traffic classification using deep learning: Experimental evaluation, lessons learned, and challenges",2019,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2019.2899085","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061524225&doi=10.1109%2fTNSM.2019.2899085&partnerID=40&md5=630d08fc69a5e9eb5f1617e3cf1cef52"
"Big Data Analysis-Based Secure Cluster Management for Optimized Control Plane in Software-Defined Networks",2018,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2018.2799000","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041294425&doi=10.1109%2fTNSM.2018.2799000&partnerID=40&md5=a8f512e9c7b03d046d20cbbb3a5e1144"
"NetVM: High performance and flexible networking using virtualization on commodity platforms",2015,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2015.2401568","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926028205&doi=10.1109%2fTNSM.2015.2401568&partnerID=40&md5=c619fddc8f4e379a6e692e7fe9cc5e16"
"On Dynamic service function chain deployment and readjustment",2017,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2711610","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028930403&doi=10.1109%2fTNSM.2017.2711610&partnerID=40&md5=4038ee32a096d49608a1956a4597f4b8"
"A Scalable Algorithm for the Placement of Service Function Chains",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2598068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991396242&doi=10.1109%2fTNSM.2016.2598068&partnerID=40&md5=923db4e17fea7ae921cccdd460042341"
"A hybrid deep learning-based model for anomaly detection in cloud datacenter networks",2019,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2019.2927886","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069501526&doi=10.1109%2fTNSM.2019.2927886&partnerID=40&md5=82b516286d698b9af5e288839e64901b"
"Programming Abstractions for Software-Defined Wireless Networks",2015,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2015.2417772","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933506540&doi=10.1109%2fTNSM.2015.2417772&partnerID=40&md5=5d2fe7ede6f5f689771e9bb52ff7f8bd"
"A Reliability-Aware Network Service Chain Provisioning with Delay Guarantees in NFV-Enabled Enterprise Datacenter Networks",2017,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2723090","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023198533&doi=10.1109%2fTNSM.2017.2723090&partnerID=40&md5=f38d59a125d553ad9172a6446db6e527"
"Energy-Efficient Resource Allocation and Provisioning Framework for Cloud Data Centers",2015,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2015.2436408","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959479991&doi=10.1109%2fTNSM.2015.2436408&partnerID=40&md5=0de0b3cd4796872f711c71d6874b4d56"
"A Pretreatment Workflow Scheduling Approach for Big Data Applications in Multicloud Environments",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2554143","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991294631&doi=10.1109%2fTNSM.2016.2554143&partnerID=40&md5=7645a0c85852be0dfcde3f1d64c0bab9"
"Joint Energy Efficient and QoS-Aware Path Allocation and VNF Placement for Service Function Chaining",2019,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2018.2873225","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054474140&doi=10.1109%2fTNSM.2018.2873225&partnerID=40&md5=71819bb84593ca36f96b661b41a45b97"
"An Effective Approach to Controller Placement in Software Defined Wide Area Networks",2018,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2785660","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039774024&doi=10.1109%2fTNSM.2017.2785660&partnerID=40&md5=7cfa9c5b95668c931d769b16a4ba885a"
"SLICOTS: An SDN-based lightweight countermeasure for TCP SYN flooding attacks",2017,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2701549","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020930534&doi=10.1109%2fTNSM.2017.2701549&partnerID=40&md5=ed58b4b22dc9a9727c640f2abbed9752"
"Optimizing Resource Allocation for Virtualized Network Functions in a Cloud Center Using Genetic Algorithms",2017,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2686979","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020915648&doi=10.1109%2fTNSM.2017.2686979&partnerID=40&md5=7e567fb839ccfeefe4e6fc3da2038fb2"
"Scheduling wireless virtual networks functions",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2549563","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976516347&doi=10.1109%2fTNSM.2016.2549563&partnerID=40&md5=688b493b3baa1eaa9e18792760284390"
"FakeMask: A Novel Privacy Preserving Approach for Smartphones",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2559448","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976496511&doi=10.1109%2fTNSM.2016.2559448&partnerID=40&md5=f498190a4ff53650e15fbfb7aa540dad"
"Capacitated Next Controller Placement in Software Defined Networks",2017,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2720699","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023741227&doi=10.1109%2fTNSM.2017.2720699&partnerID=40&md5=e1451a9513daf35aac5e5d7ea89d8f38"
"Large-Scale Dynamic Controller Placement",2017,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2651107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015607736&doi=10.1109%2fTNSM.2017.2651107&partnerID=40&md5=df43a28200f650e8adb882ee5e487544"
"Situation-aware IoT service coordination using the event-driven SOA paradigm",2016,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2016.2541171","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976486300&doi=10.1109%2fTNSM.2016.2541171&partnerID=40&md5=e3bb5ccb61362b243e3c9ad6115eaeab"
"Towards a cost optimal design for a 5G mobile core network based on SDN and NFV",2017,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2017.2732505","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040965765&doi=10.1109%2fTNSM.2017.2732505&partnerID=40&md5=5729ae1f81510e278d111b88d9ef5f18"
"Adaptive resource management and control in software defined networks",2015,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2015.2402752","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961292111&doi=10.1109%2fTNSM.2015.2402752&partnerID=40&md5=4dcdece44130ff8a0606064e0ca4938b"
"Routing Algorithms for Network Function Virtualization Enabled Multicast Topology on SDN",2015,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2015.2465371","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961777995&doi=10.1109%2fTNSM.2015.2465371&partnerID=40&md5=d2cf2ac770ff32cb0e827f6ce8203933"
"Secure Data Encryption Based on Quantum Walks for 5G Internet of Things Scenario",2020,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2020.2969863","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082030502&doi=10.1109%2fTNSM.2020.2969863&partnerID=40&md5=55e4c2101b50016d39d03d9b587146f7"
"SAFETY: Early Detection and Mitigation of TCP SYN Flood Utilizing Entropy in SDN",2018,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2018.2861741","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050971549&doi=10.1109%2fTNSM.2018.2861741&partnerID=40&md5=dfb47036223a30f96dbfb5767f7284a8"
"Mobile Edge Computing Resources Optimization: A Geo-Clustering Approach",2018,"IEEE Transactions on Network and Service Management","10.1109/TNSM.2018.2816263","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044070269&doi=10.1109%2fTNSM.2018.2816263&partnerID=40&md5=1193c3a0032b88b914cebe6561d05f2e"
