Title,Year,Source title,DOI,Link
"Deep learning with differential privacy",2016,"Proceedings of the ACM Conference on Computer and Communications Security","10.1145/2976749.2978318","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995527907&doi=10.1145%2f2976749.2978318&partnerID=40&md5=730e01fed9b8425e605895bcd0cff830"
"Making smart contracts smarter",2016,"Proceedings of the ACM Conference on Computer and Communications Security","10.1145/2976749.2978309","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995404927&doi=10.1145%2f2976749.2978309&partnerID=40&md5=e28e5361724ed7654fe011ce09da208f"
"Privacy-preserving deep learning",2015,"Proceedings of the ACM Conference on Computer and Communications Security","10.1145/2810103.2813687","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954108845&doi=10.1145%2f2810103.2813687&partnerID=40&md5=eeca7ced1020f21c43328f356f68829d"
"Model inversion attacks that exploit confidence information and basic countermeasures",2015,"Proceedings of the ACM Conference on Computer and Communications Security","10.1145/2810103.2813677","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954097669&doi=10.1145%2f2810103.2813677&partnerID=40&md5=37357d7cdbbb908f9d504612c1517163"
"On the security and performance of Proof of Work blockchains",2016,"Proceedings of the ACM Conference on Computer and Communications Security","10.1145/2976749.2978341","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995482126&doi=10.1145%2f2976749.2978341&partnerID=40&md5=f0039642820192e2b874afce357680ac"
"Practical secure aggregation for privacy-preserving machine learning",2017,"Proceedings of the ACM Conference on Computer and Communications Security","10.1145/3133956.3133982","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041432607&doi=10.1145%2f3133956.3133982&partnerID=40&md5=d1b0d29c2b6827917cf65b607dc81a8b"
"Accessorize to a crime: Real and stealthy attacks on state-of-the-art face recognition",2016,"Proceedings of the ACM Conference on Computer and Communications Security","10.1145/2976749.2978392","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995426895&doi=10.1145%2f2976749.2978392&partnerID=40&md5=5134c69906b3c7ec840258d584e124fd"
"A secure sharding protocol for open blockchains",2016,"Proceedings of the ACM Conference on Computer and Communications Security","10.1145/2976749.2978389","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995422445&doi=10.1145%2f2976749.2978389&partnerID=40&md5=33fc6da9c8937b36fb3d563a0063f6a5"
"DeepLog: Anomaly detection and diagnosis from system logs through deep learning",2017,"Proceedings of the ACM Conference on Computer and Communications Security","10.1145/3133956.3134015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041449815&doi=10.1145%2f3133956.3134015&partnerID=40&md5=39da60f53442ae3ae47f2e7ccb95075e"
"MagNet: A Two-Pronged defense against adversarial examples",2017,"Proceedings of the ACM Conference on Computer and Communications Security","10.1145/3133956.3134057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038925130&doi=10.1145%2f3133956.3134057&partnerID=40&md5=dc2cbc01ff01a949e595383184c49c05"
"Deep Models under the GAN: Information leakage from collaborative deep learning",2017,"Proceedings of the ACM Conference on Computer and Communications Security","10.1145/3133956.3134012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041437863&doi=10.1145%2f3133956.3134012&partnerID=40&md5=4b0a269b0460b84279de891ac936ddef"
"RapidChain: Scaling blockchain via full sharding",2018,"Proceedings of the ACM Conference on Computer and Communications Security","10.1145/3243734.3243853","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056891496&doi=10.1145%2f3243734.3243853&partnerID=40&md5=f6fa2fb08f8df78fb26071983deb17cc"
"Inference attacks on property-preserving encrypted databases",2015,"Proceedings of the ACM Conference on Computer and Communications Security","10.1145/2810103.2813651","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954121689&doi=10.1145%2f2810103.2813651&partnerID=40&md5=841b139d91be6c74a82e1ac58a77f6b0"
"Town crier: An authenticated data feed for smart contracts",2016,"Proceedings of the ACM Conference on Computer and Communications Security","10.1145/2976749.2978326","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995426874&doi=10.1145%2f2976749.2978326&partnerID=40&md5=9da13e90a878cc37994823e9b2fd6ee7"
"Leakage-abuse attacks against searchable encryption",2015,"Proceedings of the ACM Conference on Computer and Communications Security","10.1145/2810103.2813700","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954113614&doi=10.1145%2f2810103.2813700&partnerID=40&md5=67963559c849a7b462e47b750828f648"
"Online tracking: A 1-million-site measurement and analysis",2016,"Proceedings of the ACM Conference on Computer and Communications Security","10.1145/2976749.2978313","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995395759&doi=10.1145%2f2976749.2978313&partnerID=40&md5=04dde1dff554ccaf425cf6b32fb70efd"
"DolphinAttack: Inaudible voice commands",2017,"Proceedings of the ACM Conference on Computer and Communications Security","10.1145/3133956.3134052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041191966&doi=10.1145%2f3133956.3134052&partnerID=40&md5=5fa696412464656fbefdd67a3db020cd"
"Securify: Practical security analysis of smart contracts",2018,"Proceedings of the ACM Conference on Computer and Communications Security","10.1145/3243734.3243780","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056848750&doi=10.1145%2f3243734.3243780&partnerID=40&md5=f51eea681a484aad13e652f1f8767ea7"
"The Honey Badger of BFT protocols",2016,"Proceedings of the ACM Conference on Computer and Communications Security","10.1145/2976749.2978399","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995495375&doi=10.1145%2f2976749.2978399&partnerID=40&md5=9c829c237e67664a4fb28df18ff373fc"
"A search engine backed by Internet-wide scanning",2015,"Proceedings of the ACM Conference on Computer and Communications Security","10.1145/2810103.2813703","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954147468&doi=10.1145%2f2810103.2813703&partnerID=40&md5=483815da220c84d4a9e7b33e4f564639"
"Directed greybox fuzzing",2017,"Proceedings of the ACM Conference on Computer and Communications Security","10.1145/3133956.3134020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041437649&doi=10.1145%2f3133956.3134020&partnerID=40&md5=ed92f5c95c143a16e802d99dcc9d5828"
"Neural network-based graph embedding for cross-platform binary code similarity detection",2017,"Proceedings of the ACM Conference on Computer and Communications Security","10.1145/3133956.3134018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041434663&doi=10.1145%2f3133956.3134018&partnerID=40&md5=370feb4405d97769721db698ae8e9dbc"
"Coverage-based Greybox Fuzzing as Markov chain",2016,"Proceedings of the ACM Conference on Computer and Communications Security","10.1145/2976749.2978428","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995450940&doi=10.1145%2f2976749.2978428&partnerID=40&md5=f1d101817322afe2522cba7636e35cc2"
"Protecting locations with differential privacy under temporal correlations",2015,"Proceedings of the ACM Conference on Computer and Communications Security","10.1145/2810103.2813640","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954112745&doi=10.1145%2f2810103.2813640&partnerID=40&md5=03f1286e4725c699a4f90dcbea61d9e7"
