Title,Year,Source title,DOI,Link
"Spark SQL: Relational data processing in spark",2015,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2723372.2742797","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953884359&doi=10.1145%2f2723372.2742797&partnerID=40&md5=9910f9e8cccf60a2e5ec854fffab58ab"
"Influence maximization in near-linear time: A martingale approach",2015,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2723372.2723734","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957584524&doi=10.1145%2f2723372.2723734&partnerID=40&md5=3c4bc31ffff541e47219648f47863662"
"BLOCKBENCH: A framework for analyzing private blockchains",2017,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3035918.3064033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021235588&doi=10.1145%2f3035918.3064033&partnerID=40&md5=b719863d9ec6a54b35a05dec759f441b"
"Twitter heron: Stream processing at scale",2015,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2723372.2723374","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957571983&doi=10.1145%2f2723372.2723374&partnerID=40&md5=563036b12ccfa6452fe328b5d9a27c74"
"K-shape: Efficient and accurate clustering of time series",2015,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2723372.2737793","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957603873&doi=10.1145%2f2723372.2737793&partnerID=40&md5=2df2e3306e097fb43fc6a30a30374d79"
"The case for learned index structures",2018,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3183713.3196909","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048807962&doi=10.1145%2f3183713.3196909&partnerID=40&md5=f4a342e9aff542c6ba5d89e37b7b0285"
"Stop-and-Stare: Optimal sampling algorithms for viral marketing in billion-scale networks",2016,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2882903.2915207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979696657&doi=10.1145%2f2882903.2915207&partnerID=40&md5=9f32af460926f69c94ea8b02f0e6979c"
"Automatic database management system tuning through large-scale machine learning",2017,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3035918.3064029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021223374&doi=10.1145%2f3035918.3064029&partnerID=40&md5=5e3b835b2b04169b6540e43d316b0ab7"
"Deep learning for entity matching: A design space exploration",2018,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/3183713.3196926","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048822129&doi=10.1145%2f3183713.3196926&partnerID=40&md5=8c42cfe00e88a7f0c3596e5d8b438868"
"FPTree: A hybrid SCM-DRAM persistent and concurrent B-Tree for Storage Class Memory",2016,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2882903.2915251","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979650436&doi=10.1145%2f2882903.2915251&partnerID=40&md5=7a8e3670bdea1b19dd42e48b04d87ab8"
"Simba: Efficient in-memory spatial analytics",2016,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2882903.2915237","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979663010&doi=10.1145%2f2882903.2915237&partnerID=40&md5=8635aa7bcb140bcbff170f3708c464c1"
"Let's talk about storage & recovery methods for non-volatile memory database systems",2015,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2723372.2749441","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957535903&doi=10.1145%2f2723372.2749441&partnerID=40&md5=33242a4397c7d00ae350c0f744fafe84"
"Overview of data exploration techniques",2015,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2723372.2731084","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961340292&doi=10.1145%2f2723372.2731084&partnerID=40&md5=6f02cdc787c447333a99fdc121019c9e"
"Katara: A data cleaning system powered by knowledge bases and crowdsourcing",2015,"Proceedings of the ACM SIGMOD International Conference on Management of Data","10.1145/2723372.2749431","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957586399&doi=10.1145%2f2723372.2749431&partnerID=40&md5=ae283d4b357c8502e4506f874f410c43"
