Title,Year,Source title,DOI,Link
"HotStuff: BFT Consensus with linearity and responsiveness",2019,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3293611.3331591","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071016201&doi=10.1145%2f3293611.3331591&partnerID=40&md5=8b783a56ae1021067744a4c3b89d5409"
"Atomic cross-chain swaps",2018,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3212734.3212736","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050973982&doi=10.1145%2f3212734.3212736&partnerID=40&md5=8bfc12c2dec19f8818341b9d0e7943c4"
"FruitChains: A fair blockchain",2017,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3087801.3087809","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027854169&doi=10.1145%2f3087801.3087809&partnerID=40&md5=11a5c398e6ee87a8693e1a2b006ab936"
"Algebraic methods in the congested clique",2015,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/2767386.2767414","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955729177&doi=10.1145%2f2767386.2767414&partnerID=40&md5=1c6c1a20d6c5933b8b8904410a36d436"
"Toward optimal bounds in the congested clique: Graph connectivity and MST",2015,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/2767386.2767434","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955696750&doi=10.1145%2f2767386.2767434&partnerID=40&md5=aae624a8e9c5b0d08cd80e8be0620503"
"Adding concurrency to smart contracts",2017,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3087801.3087835","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027842381&doi=10.1145%2f3087801.3087835&partnerID=40&md5=f3536b4ebd775784eabef068f4ed31a5"
"Fast and exact majority in population protocols",2015,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/2767386.2767429","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957621056&doi=10.1145%2f2767386.2767429&partnerID=40&md5=f826d0554aa2bb1780597e46b1b96f98"
"Reclaiming memory for lock-free data structures: There has to be a better way",2015,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/2767386.2767436","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957652542&doi=10.1145%2f2767386.2767436&partnerID=40&md5=ac6c6d52f6beccbdc11f3d819080e447"
"Improved massively parallel computation algorithms for MIS, matching, and vertex cover",2018,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/3212734.3212743","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052471321&doi=10.1145%2f3212734.3212743&partnerID=40&md5=9ada1aeb44beaa038addfebb868bbde0"
"Scheduling loop-free network updates: It's good to relax!",2015,"Proceedings of the Annual ACM Symposium on Principles of Distributed Computing","10.1145/2767386.2767412","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957648784&doi=10.1145%2f2767386.2767412&partnerID=40&md5=5822c7a4582e42af986052f3dd4d5e2d"
