Title,Year,Source title,DOI,Link
"Fast R-CNN",2015,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2015.169","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964588182&doi=10.1109%2fICCV.2015.169&partnerID=40&md5=a20bd3b46a2dd9c7893e12e9c19e5e4c"
"Mask R-CNN",2017,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2017.322","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040313738&doi=10.1109%2fICCV.2017.322&partnerID=40&md5=ec54a6e3213e19d0e80a918920697dc5"
"Delving deep into rectifiers: Surpassing human-level performance on imagenet classification",2015,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2015.123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973911419&doi=10.1109%2fICCV.2015.123&partnerID=40&md5=b9377e77f9f5a62f1b13e176407f7c32"
"Unpaired Image-to-Image Translation Using Cycle-Consistent Adversarial Networks",2017,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2017.244","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041892358&doi=10.1109%2fICCV.2017.244&partnerID=40&md5=5b133033b8502149509e111cb88f3919"
"Focal Loss for Dense Object Detection",2017,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2017.324","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041916350&doi=10.1109%2fICCV.2017.324&partnerID=40&md5=c6cb33ee17d98ca4faa8450d059dbb8f"
"Learning spatiotemporal features with 3D convolutional networks",2015,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2015.510","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973865953&doi=10.1109%2fICCV.2015.510&partnerID=40&md5=733743a7c3f1f15b597712b90cad90f8"
"Grad-CAM: Visual Explanations from Deep Networks via Gradient-Based Localization",2017,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2017.74","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041910265&doi=10.1109%2fICCV.2017.74&partnerID=40&md5=0681b91ac0bcd6c3905aa171e46f1378"
"Deep learning face attributes in the wild",2015,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2015.425","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973917446&doi=10.1109%2fICCV.2015.425&partnerID=40&md5=1da67f13acf28106db916aa791f0012d"
"Learning deconvolution network for semantic segmentation",2015,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2015.178","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973879016&doi=10.1109%2fICCV.2015.178&partnerID=40&md5=d134418c29d23acbdbd5d513b84de90e"
"Scalable person re-identification: A benchmark",2015,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2015.133","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973855896&doi=10.1109%2fICCV.2015.133&partnerID=40&md5=0b538f9a91e6d3fc8261ea0f2f3f2aae"
"FlowNet: Learning optical flow with convolutional networks",2015,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2015.316","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973904859&doi=10.1109%2fICCV.2015.316&partnerID=40&md5=d3061dfc2e389ca69c2d4692c09f56c0"
"Least Squares Generative Adversarial Networks",2017,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2017.304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041908569&doi=10.1109%2fICCV.2017.304&partnerID=40&md5=fa209f8997bb52839f6b5fbc9e39c189"
"Deformable Convolutional Networks",2017,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2017.89","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041893623&doi=10.1109%2fICCV.2017.89&partnerID=40&md5=7268696e47d40db00e51551c7eb3b53d"
"Multi-view convolutional neural networks for 3D shape recognition",2015,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2015.114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973882748&doi=10.1109%2fICCV.2015.114&partnerID=40&md5=2d51348e0c4b74c3dd228cfb09a73e4a"
"Conditional random fields as recurrent neural networks",2015,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2015.179","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973861983&doi=10.1109%2fICCV.2015.179&partnerID=40&md5=e2c727e7646bedaa7a4cadb599b225cd"
"VQA: Visual question answering",2015,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2015.279","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973890960&doi=10.1109%2fICCV.2015.279&partnerID=40&md5=a8e8eb012465f11142839a0d8b12c1f0"
"Learning spatially regularized correlation filters for visual tracking",2015,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2015.490","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973922861&doi=10.1109%2fICCV.2015.490&partnerID=40&md5=bd4ac22da6affab5a7e0fc58a156563d"
"Holistically-nested edge detection",2015,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2015.164","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973859794&doi=10.1109%2fICCV.2015.164&partnerID=40&md5=59fb903fb06d98c9c729bb0ef4c9d69d"
"Predicting depth, surface normals and semantic labels with a common multi-scale convolutional architecture",2015,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2015.304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973897611&doi=10.1109%2fICCV.2015.304&partnerID=40&md5=fd7707090da72538d42ae427c83dfaef"
"Hierarchical convolutional features for visual tracking",2015,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2015.352","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973869904&doi=10.1109%2fICCV.2015.352&partnerID=40&md5=e3b714c8bf7ab95dc6800333c81f0ee6"
"Bilinear CNN models for fine-grained visual recognition",2015,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2015.170","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973863234&doi=10.1109%2fICCV.2015.170&partnerID=40&md5=87e7d09bc87e607400c9cd2d67cee108"
"Arbitrary Style Transfer in Real-Time with Adaptive Instance Normalization",2017,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2017.167","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041925505&doi=10.1109%2fICCV.2017.167&partnerID=40&md5=d85925e7203309cee2c3a345e425939e"
"FCOS: Fully convolutional one-stage object detection",2019,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2019.00972","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081891103&doi=10.1109%2fICCV.2019.00972&partnerID=40&md5=54a765a23cd587501866a03b22099be7"
"StackGAN: Text to Photo-Realistic Image Synthesis with Stacked Generative Adversarial Networks",2017,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2017.629","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040306596&doi=10.1109%2fICCV.2017.629&partnerID=40&md5=19f592951fc620e711d0f4db147645b6"
"Unlabeled Samples Generated by GAN Improve the Person Re-identification Baseline in Vitro",2017,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2017.405","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032302943&doi=10.1109%2fICCV.2017.405&partnerID=40&md5=6d8f5df8071538dbbfc908cd045f39b5"
"Searching for mobileNetV3",2019,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2019.00140","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078525267&doi=10.1109%2fICCV.2019.00140&partnerID=40&md5=19c27479db5ee733cad38ab0eb06c77c"
"PoseNet: A convolutional network for real-time 6-dof camera relocalization",2015,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2015.336","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973912724&doi=10.1109%2fICCV.2015.336&partnerID=40&md5=1decfed962aff401c5281738999930ae"
"DeepDriving: Learning affordance for direct perception in autonomous driving",2015,"Proceedings of the IEEE International Conference on Computer Vision","10.1109/ICCV.2015.312","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973888858&doi=10.1109%2fICCV.2015.312&partnerID=40&md5=529204223f322b19e1e42c3e9050c157"
